Date,12개월 ~ 18개월
2010.10.5,0.00000157
2010.10.6,0.00000334
2010.10.7,0.00000605
2010.10.8,0.00000982
2010.10.9,0.000015
2010.10.10,0.00001934
2010.10.11,0.00002366
2010.10.12,0.00002686
2010.10.13,0.00002992
2010.10.14,0.00003349
2010.10.15,0.00003826
2010.10.16,0.00004299
2010.10.17,0.00004707
2010.10.18,0.00005225
2010.10.19,0.00006158
2010.10.20,0.00007811
2010.10.21,0.00008517
2010.10.22,0.00009187
2010.10.23,0.00009863
2010.10.24,0.00010273
2010.10.25,0.00010772
2010.10.26,0.00011282
2010.10.27,0.00011735
2010.10.28,0.0001215
2010.10.29,0.00012832
2010.10.30,0.00013281
2010.10.31,0.00013541
2010.11.1,0.00013752
2010.11.2,0.00014156
2010.11.3,0.00014605
2010.11.4,0.00015155
2010.11.5,0.00015603
2010.11.6,0.0001607
2010.11.7,0.00016623
2010.11.8,0.00017227
2010.11.9,0.00017843
2010.11.10,0.0001851
2010.11.11,0.00019189
2010.11.12,0.00019852
2010.11.13,0.00020607
2010.11.14,0.00021282
2010.11.15,0.00022
2010.11.16,0.00022709
2010.11.17,0.00023321
2010.11.18,0.00023824
2010.11.19,0.00024211
2010.11.20,0.00024902
2010.11.21,0.00025517
2010.11.22,0.00026294
2010.11.23,0.00027013
2010.11.24,0.00027599
2010.11.25,0.0002842
2010.11.26,0.0002903
2010.11.27,0.00029507
2010.11.28,0.00029975
2010.11.29,0.00030546
2010.11.30,0.00031016
2010.12.1,0.00031498
2010.12.2,0.00031902
2010.12.3,0.00032222
2010.12.4,0.00032304
2010.12.5,0.00032806
2010.12.6,0.00033242
2010.12.7,0.00033706
2010.12.8,0.00034158
2010.12.9,0.00034603
2010.12.10,0.00035015
2010.12.11,0.00035496
2010.12.12,0.00036004
2010.12.13,0.00036469
2010.12.14,0.00036935
2010.12.15,0.0003769
2010.12.16,0.00038208
2010.12.17,0.00038712
2010.12.18,0.00039313
2010.12.19,0.00040106
2010.12.20,0.00040436
2010.12.21,0.00041034
2010.12.22,0.00041568
2010.12.23,0.0004213
2010.12.24,0.00042668
2010.12.25,0.00043033
2010.12.26,0.00043573
2010.12.27,0.00044108
2010.12.28,0.00044554
2010.12.29,0.00045065
2010.12.30,0.00045514
2010.12.31,0.00046007
2011.1.1,0.00046536
2011.1.2,0.00047114
2011.1.3,0.00047636
2011.1.4,0.00048236
2011.1.5,0.0004888
2011.1.6,0.00049498
2011.1.7,0.00050058
2011.1.8,0.00050621
2011.1.9,0.00051161
2011.1.10,0.00051688
2011.1.11,0.00052054
2011.1.12,0.00052908
2011.1.13,0.00053295
2011.1.14,0.00053409
2011.1.15,0.00053783
2011.1.16,0.00054776
2011.1.17,0.00055227
2011.1.18,0.00055564
2011.1.19,0.00055883
2011.1.20,0.00056271
2011.1.21,0.00056486
2011.1.22,0.00056602
2011.1.23,0.00057035
2011.1.24,0.00057282
