Date,Data
2009.1.9,700
2009.1.10,3750
2009.1.11,8400
2009.1.12,13089
2009.1.13,19239
2009.1.14,25628
2009.1.15,31578
2009.1.16,36878
2009.1.17,42328
2009.1.18,47528
2009.1.19,53278
2009.1.20,58978
2009.1.21,63978
2009.1.22,68528
2009.1.23,72578
2009.1.24,82128
2009.1.25,91678
2009.1.26,96478
2009.1.27,101178
2009.1.28,106778
2009.1.29,112828
2009.1.30,118678
2009.1.31,124578
2009.2.1,130228
2009.2.2,136578
2009.2.3,143528
2009.2.4,149478
2009.2.5,155778
2009.2.6,161878
2009.2.7,167178
2009.2.8,174778
2009.2.9,181478
2009.2.10,187478
2009.2.11,193577.96
2009.2.12,199527.96
2009.2.13,205727.96
2009.2.14,212527.96
2009.2.15,218377.96
2009.2.16,224477.96
2009.2.17,230327.96
2009.2.18,236227.96
2009.2.19,242427.96
2009.2.20,248527.96
2009.2.21,254227.96
2009.2.22,259877.96
2009.2.23,265277.96
2009.2.24,270577.96
2009.2.25,275827.96
2009.2.26,281177.96
2009.2.27,286927.96
2009.2.28,291527.96
2009.3.1,296777.96
2009.3.2,302177.96
2009.3.3,307027.96
2009.3.4,312227.96
2009.3.5,317827.96
2009.3.6,323677.96
2009.3.7,329127.96
2009.3.8,333677.96
2009.3.9,339077.96
2009.3.10,344427.96
2009.3.11,350127.96
2009.3.12,356027.96
2009.3.13,360927.96
2009.3.14,366427.96
2009.3.15,372577.96
2009.3.16,378627.96
2009.3.17,384327.96
2009.3.18,389327.96
2009.3.19,395427.96
2009.3.20,401327.96
2009.3.21,403827.96
2009.3.22,409227.96
2009.3.23,415727.96
2009.3.24,420977.96
2009.3.25,426827.96
2009.3.26,432677.96
2009.3.27,437977.96
2009.3.28,442927.96
2009.3.29,448727.96
2009.3.30,454727.96
2009.3.31,460227.96
2009.4.1,465927.96
2009.4.2,471677.96
2009.4.3,477477.96
2009.4.4,483127.96
2009.4.5,488777.96
2009.4.6,494227.96
2009.4.7,499227.96
2009.4.8,504477.96
2009.4.9,509427.96
2009.4.10,514827.96
2009.4.11,520477.96
2009.4.12,526077.96
2009.4.13,531827.96
2009.4.14,538027.96
2009.4.15,543677.96
2009.4.16,549827.96
2009.4.17,555427.96
2009.4.18,561595.45
2009.4.19,567145.45
2009.4.20,573095.45
2009.4.21,579245.45
2009.4.22,585295.45
2009.4.23,589045.45
2009.4.24,594795.45
2009.4.25,600695.45
2009.4.26,605545.45
2009.4.27,610745.45
2009.4.28,616595.45
2009.4.29,622995.45
2009.4.30,629545.45
2009.5.1,635595.45
2009.5.2,641895.45
2009.5.3,647195.45
2009.5.4,653595.45
2009.5.5,660345.45
2009.5.6,667095.45
2009.5.7,673145.45
2009.5.8,678545.45
2009.5.9,682445.45
2009.5.10,686695.45
2009.5.11,692695.45
2009.5.12,699195.45
2009.5.13,704745.45
2009.5.14,711695.45
2009.5.15,718495.45
2009.5.16,724445.45
2009.5.17,730795.45
2009.5.18,736695.45
2009.5.19,740995.45
2009.5.20,746995.45
2009.5.21,751095.45
2009.5.22,754145.45
2009.5.23,755745.45
2009.5.24,760745.45
2009.5.25,766195.45
2009.5.26,772445.45
2009.5.27,778395.45
2009.5.28,783145.45
2009.5.29,788445.45
2009.5.30,793895.45
2009.5.31,798695.45
2009.6.1,802245.45
2009.6.2,807795.45
2009.6.3,811345.45
2009.6.4,814645.45
2009.6.5,816145.45
2009.6.6,817545.45
2009.6.7,818345.45
2009.6.8,822445.45
2009.6.9,826995.45
2009.6.10,831095.45
2009.6.11,835545.45
2009.6.12,839845.45
2009.6.13,843745.45
2009.6.14,847345.45
2009.6.15,851545.45
2009.6.16,855095.45
2009.6.17,859045.45
2009.6.18,863045.45
2009.6.19,867395.45
2009.6.20,871295.45
2009.6.21,875345.45
2009.6.22,879145.45
2009.6.23,882945.45
2009.6.24,887695.45
2009.6.25,891095.45
2009.6.26,895595.45
2009.6.27,899795.45
2009.6.28,902095.45
2009.6.29,906245.45
2009.6.30,910495.45
2009.7.1,914195.45
2009.7.2,918335.45
2009.7.3,922435.45
2009.7.4,926885.45
2009.7.5,930835.45
2009.7.6,935035.45
2009.7.7,938485.45
2009.7.8,942185.45
2009.7.9,946485.45
2009.7.10,950535.45
2009.7.11,954685.45
2009.7.12,958535.45
2009.7.13,962435.45
2009.7.14,965885.45
2009.7.15,968135.45
2009.7.16,971685.45
2009.7.17,974035.45
2009.7.18,974235.45
2009.7.19,977735.45
2009.7.20,981235.45
2009.7.21,985335.45
2009.7.22,988335.45
2009.7.23,992135.45
2009.7.24,995785.45
2009.7.25,997385.45
2009.7.26,998435.45
2009.7.27,1002135.45
2009.7.28,1004185.45
2009.7.29,1005035.45
2009.7.30,1005780.45
2009.7.31,1006630.45
2009.8.1,1008030.45
2009.8.2,1009180.45
2009.8.3,1009780.45
2009.8.4,1013830.45
2009.8.5,1018180.45
2009.8.6,1022680.45
2009.8.7,1026680.45
2009.8.8,1030680.45
2009.8.9,1035730.45
2009.8.10,1039480.45
2009.8.11,1042980.45
2009.8.12,1046130.45
2009.8.13,1050380.45
2009.8.14,1053530.45
2009.8.15,1054830.45
2009.8.16,1055780.45
2009.8.17,1056630.45
2009.8.18,1057130.45
2009.8.19,1058030.45
2009.8.20,1059130.45
2009.8.21,1059830.45
2009.8.22,1060180.45
2009.8.23,1060930.45
2009.8.24,1061680.45
2009.8.25,1064180.45
2009.8.26,1066579.45
2009.8.27,1068029.45
2009.8.28,1071779.45
2009.8.29,1075679.45
2009.8.30,1080529.45
2009.8.31,1084829.45
2009.9.1,1088729.45
2009.9.2,1092029.45
2009.9.3,1095079.45
2009.9.4,1098279.45
2009.9.5,1102079.45
2009.9.6,1105479.45
2009.9.7,1109379.45
2009.9.8,1112829.45
2009.9.9,1115529.45
2009.9.10,1118879.45
2009.9.11,1122229.45
2009.9.12,1125679.45
2009.9.13,1129429.45
2009.9.14,1133129.45
2009.9.15,1135329.45
2009.9.16,1138930.45
2009.9.17,1143130.45
2009.9.18,1147030.45
2009.9.19,1150730.45
2009.9.20,1154630.45
2009.9.21,1158080.45
2009.9.22,1159330.45
2009.9.23,1161130.45
2009.9.24,1165980.45
2009.9.25,1170530.45
2009.9.26,1175530.45
2009.9.27,1179880.45
2009.9.28,1184130.45
2009.9.29,1188530.45
2009.9.30,1192780.45
2009.10.1,1196830.45
2009.10.2,1200480.45
2009.10.3,1203380.45
2009.10.4,1206030.45
2009.10.5,1208780.45
2009.10.6,1210930.45
2009.10.7,1213930.45
2009.10.8,1217430.45
2009.10.9,1221430.45
2009.10.10,1225230.45
2009.10.11,1228930.45
2009.10.12,1231830.45
2009.10.13,1234680.45
2009.10.14,1238130.45
2009.10.15,1241680.45
2009.10.16,1244680.45
2009.10.17,1247530.45
2009.10.18,1251230.45
2009.10.19,1256830.45
2009.10.20,1261580.45
2009.10.21,1265580.45
2009.10.22,1270080.45
2009.10.23,1274530.45
2009.10.24,1277630.45
2009.10.25,1281430.45
2009.10.26,1284980.45
2009.10.27,1288180.45
2009.10.28,1291480.45
2009.10.29,1293780.45
2009.10.30,1296780.45
2009.10.31,1299080.45
2009.11.1,1300330.45
2009.11.2,1301980.45
2009.11.3,1305080.45
2009.11.4,1308230.45
2009.11.5,1311080.45
2009.11.6,1314180.45
2009.11.7,1317630.45
2009.11.8,1321280.45
2009.11.9,1324480.45
2009.11.10,1328380.45
2009.11.11,1331580.45
2009.11.12,1334880.45
2009.11.13,1338880.45
2009.11.14,1342830.45
2009.11.15,1347630.45
2009.11.16,1352480.45
2009.11.17,1357080.45
2009.11.18,1361030.45
2009.11.19,1364530.45
2009.11.20,1368830.45
2009.11.21,1372480.45
2009.11.22,1377780.45
2009.11.23,1382580.45
2009.11.24,1387230.45
2009.11.25,1391730.45
2009.11.26,1395930.45
