Date,미결제 약정 (Open Interest)
2019.3.30,605258083
2019.3.31,618514013
2019.4.1,650840580
2019.4.2,464153950
2019.4.3,438061129
2019.4.4,479793646
2019.4.5,469548602
2019.4.6,469307276
2019.4.7,480086863
2019.4.8,502035713
2019.4.9,517430300
2019.4.10,518491618
2019.4.11,500251192
2019.4.12,489387374
2019.4.13,521294039
2019.4.14,523535272
2019.4.15,509404405
2019.4.16,508753668
2019.4.17,513148753
2019.4.18,520380226
2019.4.19,538317368
2019.4.20,548334772
2019.4.21,554360048
2019.4.22,558621657
2019.4.23,593919694
2019.4.24,606469422
2019.4.25,563496003
2019.4.26,597874981
2019.4.27,610251971
2019.4.28,636776189
2019.4.29,636598725
2019.4.30,644632564
2019.5.1,663152034
2019.5.2,697291801
2019.5.3,632574638
2019.5.4,599317373
2019.5.5,651946957
2019.5.6,673460862
2019.5.7,634297258
2019.5.8,651126101
2019.5.9,673308917
2019.5.10,754672770
2019.5.11,654328788
2019.5.12,593760717
2019.5.13,643606449
2019.5.14,632956625
2019.5.15,660841873
2019.5.16,680070974
2019.5.17,499231622
2019.5.18,532537763
2019.5.19,590809790
2019.5.20,572078202
2019.5.21,579281670
2019.5.22,565712085
2019.5.23,555482114
2019.5.24,629960543
2019.5.25,668368049
2019.5.26,763432623
2019.5.27,770381316
2019.5.28,796420083
2019.5.29,783607318
2019.5.30,697547233
2019.5.31,686960730
2019.6.1,697507528
2019.6.2,728070220
2019.6.3,673906081
2019.6.4,612980697
2019.6.5,604277402
2019.6.6,594959376
2019.6.7,576331965
2019.6.8,600470005
2019.6.9,633117920
2019.6.10,609180382
2019.6.11,593989838
2019.6.12,638857762
2019.6.13,664190856
2019.6.14,678258654
2019.6.15,773719843
2019.6.16,750102218
2019.6.17,809935910
2019.6.18,833785227
2019.6.19,866285848
2019.6.20,920307699
2019.6.21,943756732
2019.6.22,897951934
2019.6.23,968535898
2019.6.24,941114490
2019.6.25,1038839720
2019.6.26,968498097
2019.6.27,825840492
2019.6.28,909012833
2019.6.29,861078387
2019.6.30,811299063
2019.7.1,845087965
2019.7.2,809925108
2019.7.3,900601876
2019.7.4,881962928
2019.7.5,858222230
2019.7.6,875616477
2019.7.7,907723899
2019.7.8,1036258150
2019.7.9,1113546277
2019.7.10,1048720149
2019.7.11,965474449
2019.7.12,981386697
2019.7.13,952912976
2019.7.14,894664104
2019.7.15,906774190
