Date,RTWEXBGS
2006.1.1,100
2006.2.1,100.2388
2006.3.1,100.5281
2006.4.1,100.0305
2006.5.1,97.847
2006.6.1,99.1785
2006.7.1,99.357
2006.8.1,98.8154
2006.9.1,98.5506
2006.10.1,98.3381
2006.11.1,97.3498
2006.12.1,96.7679
2007.1.1,97.8007
2007.2.1,97.6763
2007.3.1,97.4219
2007.4.1,96.1138
2007.5.1,95.3842
2007.6.1,95.117
2007.7.1,93.714
2007.8.1,94.0524
2007.9.1,92.8528
2007.10.1,90.727
2007.11.1,89.6599
2007.12.1,90.5069
2008.1.1,89.9728
2008.2.1,88.997
2008.3.1,87.2034
2008.4.1,86.8168
2008.5.1,87.1445
2008.6.1,87.7266
2008.7.1,87.3267
2008.8.1,89.6742
2008.9.1,92.0297
2008.10.1,97.9898
2008.11.1,99.1642
2008.12.1,97.5542
2009.1.1,98.5171
2009.2.1,101.2087
2009.3.1,101.5374
2009.4.1,98.8925
2009.5.1,95.7345
2009.6.1,94.8195
2009.7.1,94.3835
2009.8.1,93.1476
2009.9.1,92.5029
2009.10.1,91.244
2009.11.1,90.774
2009.12.1,91.1152
2010.1.1,90.9885
2010.2.1,92.1843
2010.3.1,91.2904
2010.4.1,90.6398
2010.5.1,93.2643
2010.6.1,93.6367
2010.7.1,92.0209
2010.8.1,91.2132
2010.9.1,90.2365
2010.10.1,87.6787
2010.11.1,87.7985
2010.12.1,88.4984
2011.1.1,87.4149
2011.2.1,86.7876
2011.3.1,86.0161
2011.4.1,84.562
2011.5.1,84.6535
2011.6.1,84.5014
2011.7.1,83.9018
2011.8.1,84.5637
2011.9.1,87.2706
2011.10.1,87.9271
2011.11.1,88.5427
2011.12.1,89.3451
2012.1.1,88.7302
2012.2.1,87.1709
2012.3.1,87.6521
2012.4.1,87.8751
2012.5.1,89.2742
2012.6.1,90.5067
2012.7.1,89.946
2012.8.1,89.2933
2012.9.1,87.9821
2012.10.1,87.8463
2012.11.1,88.2543
2012.12.1,87.4823
2013.1.1,87.3981
2013.2.1,88.2758
2013.3.1,88.7641
2013.4.1,88.0176
2013.5.1,88.4157
2013.6.1,89.1339
2013.7.1,89.6882
2013.8.1,89.6001
2013.9.1,89.1501
2013.10.1,88.145
2013.11.1,88.8977
2013.12.1,89.0744
2014.1.1,89.9799
2014.2.1,90.0791
2014.3.1,89.9204
2014.4.1,89.3924
2014.5.1,89.0736
2014.6.1,89.1777
2014.7.1,88.9322
2014.8.1,89.7473
2014.9.1,91.0643
2014.10.1,92.1794
2014.11.1,93.524
2014.12.1,95.3946
2015.1.1,97.1374
2015.2.1,98.508
2015.3.1,100.4746
2015.4.1,99.5627
2015.5.1,98.7655
2015.6.1,99.5514
2015.7.1,101.3669
2015.8.1,103.0025
2015.9.1,103.596
2015.10.1,102.6343
2015.11.1,104.3381
2015.12.1,105.1361
2016.1.1,107.4268
2016.2.1,106.1004
2016.3.1,103.9546
2016.4.1,102.4763
2016.5.1,103.546
2016.6.1,103.9955
2016.7.1,104.6676
2016.8.1,103.849
2016.9.1,104.7263
2016.10.1,105.8013
2016.11.1,108.2166
2016.12.1,109.932
2017.1.1,109.7746
2017.2.1,108.2683
2017.3.1,107.6268
2017.4.1,106.6251
2017.5.1,105.9881
2017.6.1,104.5784
2017.7.1,102.853
2017.8.1,101.9009
2017.9.1,101.2642
2017.10.1,103.0671
2017.11.1,103.2292
2017.12.1,102.9129
2018.1.1,100.7584
2018.2.1,100.1793
2018.3.1,100.3959
2018.4.1,100.5214
2018.5.1,103.4999
2018.6.1,105.0472
2018.7.1,105.0295
2018.8.1,105.6105
2018.9.1,105.823
2018.10.1,106.5444
2018.11.1,107.7015
2018.12.1,107.743
2019.1.1,106.0264
2019.2.1,106.1308
2019.3.1,106.5487
2019.4.1,106.6638
2019.5.1,107.4273
2019.6.1,106.8035
2019.7.1,106.5576
2019.8.1,108.3685
2019.9.1,108.5535
2019.10.1,108.0193
2019.11.1,107.8583
2019.12.1,107.1926
2020.1.1,106.5745
2020.2.1,107.8551
2020.3.1,111.8024
2020.4.1,113.4214
2020.5.1,112.7267
2020.6.1,110.0856
2020.7.1,109.4907
2020.8.1,108.19
2020.9.1,107.7823
2020.10.1,107.2406
2020.11.1,105.9104
2020.12.1,103.9403
2021.1.1,103.1974
2021.2.1,103.9078
2021.3.1,105.3793
2021.4.1,105.215
2021.5.1,104.2291
2021.6.1,105.1368
2021.7.1,106.6544
2021.8.1,106.9696
2021.9.1,107.1121
2021.10.1,108.0272
2021.11.1,109.1523
2021.12.1,110.3128
2022.1.1,109.6285
2022.2.1,109.7771
2022.3.1,111.0346
2022.4.1,111.6777
2022.5.1,114.2689
2022.6.1,115.2183
2022.7.1,117.2311
2022.8.1,116.6773
2022.9.1,119.5083
2022.10.1,121.0713
2022.11.1,118.5433
2022.12.1,116.0367
2023.1.1,113.927
2023.2.1,114.5689
2023.3.1,114.8092
2023.4.1,113.6182
2023.5.1,113.9489
2023.6.1,113.7282
2023.7.1,112.4273
2023.8.1,114.0752
2023.9.1,115.7582
2023.10.1,117.3721
2023.11.1,115.4311
2023.12.1,113.8179
2024.1.1,114.1219
2024.2.1,115.1012
2024.3.1,115.019
2024.4.1,116.4688
2024.5.1,115.9884
2024.6.1,117.357
2024.7.1,116.7957
2024.8.1,116.1244
2024.9.1,115.6224
2024.10.1,117.2223
